iter	MultiClass
0	1.004596232
1	0.9298805871
2	0.8715796159
3	0.8227424718
4	0.7818117975
5	0.7477105984
6	0.7191923317
7	0.6954169965
8	0.6741133169
9	0.6556860117
10	0.6391370643
11	0.6251198323
12	0.6122338976
13	0.6014809125
14	0.5923017512
15	0.5831383746
16	0.5750953862
17	0.5679080878
18	0.5620850131
19	0.5564576316
20	0.5518322176
21	0.546476496
22	0.5426005224
23	0.5390903396
24	0.5354970408
25	0.5307414792
26	0.5279499525
27	0.5250755745
28	0.5223481654
29	0.5199638582
30	0.518078362
31	0.5159707457
32	0.513753835
33	0.5115531897
34	0.5093226052
35	0.5072118533
36	0.5057611172
37	0.5027824388
38	0.5010472488
39	0.4996403738
40	0.4981333215
41	0.4969967684
42	0.49555706
43	0.4947585393
44	0.4931176601
45	0.492261834
46	0.4910423963
47	0.4902988199
48	0.48960005
49	0.4884595852
50	0.4873045613
51	0.4863608252
52	0.4854272642
53	0.4846202578
54	0.4837225624
55	0.482708837
56	0.4820943451
57	0.4814350921
58	0.4810142543
59	0.480268042
60	0.4796907639
61	0.4791348769
62	0.4784979296
63	0.4776456591
64	0.4769694507
65	0.4759787124
66	0.4755093108
67	0.4750037943
68	0.4742296263
69	0.4737358386
70	0.4732995475
71	0.4726317223
72	0.4720216088
73	0.4715941289
74	0.4712265447
75	0.4706120511
76	0.4701451042
77	0.4694678282
78	0.469039264
79	0.4685053366
80	0.467840271
81	0.4672861538
82	0.4666780912
83	0.4662167737
84	0.4658109959
85	0.4653326774
86	0.4648746355
87	0.4645618683
88	0.46410442
89	0.4631825428
90	0.4628842511
91	0.462619772
92	0.4622799891
93	0.4618602581
94	0.4615345081
95	0.4611873329
96	0.4608433933
97	0.460504876
98	0.460189721
99	0.4599075787
100	0.4595000203
101	0.4590572713
102	0.4584560407
103	0.4581087116
104	0.4577860363
105	0.4574272552
106	0.4571692183
107	0.4570013277
108	0.4566072238
109	0.4562531791
110	0.4554963885
111	0.4551401792
112	0.4546573516
113	0.4542405077
114	0.4537061154
115	0.4534673504
116	0.4531279029
117	0.4528859125
118	0.4526727489
119	0.4523976715
120	0.4519440454
121	0.4517425393
122	0.4513950804
123	0.4511276317
124	0.4506958601
125	0.4501446472
126	0.4498640822
127	0.4495869555
128	0.4492138212
129	0.448810364
130	0.4485617253
131	0.4483647956
132	0.4479188877
133	0.4473316115
134	0.4470993727
135	0.4468060187
136	0.4465482405
137	0.4463698742
138	0.4461900371
139	0.4458761918
140	0.44530386
141	0.4448860594
142	0.4445897769
143	0.4443710978
144	0.4441695312
145	0.4438979416
146	0.4437116343
147	0.4435852768
148	0.4432147617
149	0.4429894043
150	0.4427925768
151	0.4426017083
152	0.4424148948
153	0.442171719
154	0.4418783214
155	0.4416417692
156	0.4413651218
157	0.4410620847
158	0.4408782582
159	0.440643487
160	0.4403898461
161	0.4401386808
162	0.4398373626
163	0.4396858942
164	0.4394618054
165	0.4392390777
166	0.4389832377
167	0.438838969
168	0.4384116144
169	0.4382884893
170	0.4381151514
171	0.4379524826
172	0.437830978
173	0.4376627979
174	0.4372961954
175	0.437112411
176	0.4368553926
177	0.4367141369
178	0.4364886383
179	0.4363224668
180	0.4360692172
181	0.435930206
182	0.4358204548
183	0.4356432271
184	0.4354483689
185	0.4352393795
186	0.4350110943
187	0.434890821
188	0.434728871
189	0.4343804192
190	0.4341754161
191	0.4339471747
192	0.4338051582
193	0.4336111121
194	0.433491828
195	0.4333460674
196	0.4332327716
197	0.4331249051
198	0.4330605825
199	0.4329349077
